labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
71.5,10,Blekinge,2016-07-01,158453,36661,23.136829217496672,83.35135965389465
73.3,12,Skåne,2016-07-01,1324565,357918,27.021550471286798,90.29500002684817
72.5,13,Halland,2016-07-01,320333,76463,23.869847939487972,84.2434812442818
74.5,14,Västra Götaland,2016-07-01,1671783,442252,26.453911781612803,86.1841155541214
70.39999999999999,17,Värmland,2016-07-01,279334,60866,21.789685466144473,75.70821735096266
73.3,18,Örebro,2016-07-01,294941,66602,22.581465445631498,83.91750168377936
72.2,19,Västmanland,2016-07-01,267629,59689,22.302889447705592,88.2615144772889
71.7,20,Dalarna,2016-07-01,284531,56366,19.810143710175694,82.53056634926057
69.0,21,Gävleborg,2016-07-01,284586,55931,19.653461519540667,80.21680889945532
70.2,22,Västernorrland,2016-07-01,245572,52602,21.42019448471324,79.21581651270824
73.3,23,Jämtland,2016-07-01,128673,28305,21.997621878715815,71.18766486622283
74.8,24,Västerbotten,2016-07-01,265881,73194,27.528856894625793,79.34717402364663
71.9,25,Norrbotten,2016-07-01,250570,55947,22.32789240531588,82.63945894215021
77.39999999999999,01,Stockholm,2016-10-01,2269060,746433,32.89613320053238,96.80103287609475
73.5,03,Uppsala,2016-10-01,361373,110488,30.574503352491746,81.5441433911973
72.3,04,Södermanland,2016-10-01,288097,58183,20.195628555660072,84.38557410331605
71.39999999999999,05,Östergötland,2016-10-01,452105,114779,25.387686488758142,85.40594757001398
74.4,06,Jönköping,2016-10-01,352735,74511,21.123789813882944,83.82776990371927
74.8,07,Kronoberg,2016-10-01,194628,44542,22.885710175308795,78.6558951554327
70.8,08,Kalmar,2016-10-01,242301,50365,20.786129648660136,79.45674628385343
69.4,09,Gotland,2016-10-01,58003,12562,21.65750047411341,62.10904148734122
68.7,10,Blekinge,2016-10-01,158453,36661,23.136829217496672,83.35135965389465
72.60000000000001,12,Skåne,2016-10-01,1324565,357918,27.021550471286798,90.29500002684817
72.6,13,Halland,2016-10-01,320333,76463,23.869847939487972,84.2434812442818
73.8,14,Västra Götaland,2016-10-01,1671783,442252,26.453911781612803,86.1841155541214
67.5,17,Värmland,2016-10-01,279334,60866,21.789685466144473,75.70821735096266
71.60000000000001,18,Örebro,2016-10-01,294941,66602,22.581465445631498,83.91750168377936
69.4,19,Västmanland,2016-10-01,267629,59689,22.302889447705592,88.2615144772889
69.89999999999999,20,Dalarna,2016-10-01,284531,56366,19.810143710175694,82.53056634926057
68.89999999999999,21,Gävleborg,2016-10-01,284586,55931,19.653461519540667,80.21680889945532
70.2,22,Västernorrland,2016-10-01,245572,52602,21.42019448471324,79.21581651270824
73.1,23,Jämtland,2016-10-01,128673,28305,21.997621878715815,71.18766486622283
71.60000000000001,24,Västerbotten,2016-10-01,265881,73194,27.528856894625793,79.34717402364663
71.0,25,Norrbotten,2016-10-01,250570,55947,22.32789240531588,82.63945894215021
77.89999999999999,01,Stockholm,2017-01-01,2308143,764202,33.1089538213187,96.80103287609475
73.1,03,Uppsala,2017-01-01,368971,113001,30.625984155936376,81.5441433911973
71.5,04,Södermanland,2017-01-01,291341,59280,20.34729063193989,84.38557410331605
72.2,05,Östergötland,2017-01-01,457496,117474,25.67760155280046,85.40594757001398
