;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
218;Region Syddanmark;DK-83;2009-08-01;94;91;94;96;100;45;15;87;89;83;73;50;78;90;40;61;0;77;64;91;39;100;Southern Denmark;DK-83
219;Region Zealand;DK-85;2009-08-01;52;100;83;100;83;100;34;100;100;71;93;96;0;57;73;74;0;62;78;84;0;0;Zealand;DK-85
220;Capital Region of Denmark;DK-84;2009-09-01;48;82;93;90;69;66;42;69;67;62;98;61;30;86;40;49;54;87;63;70;72;67;Capital;DK-84
221;Central Denmark Region;DK-82;2009-09-01;59;100;82;100;61;67;100;84;62;83;84;48;44;95;60;56;64;62;75;95;74;95;Central Denmark;DK-82
222;North Denmark Region;DK-81;2009-09-01;100;51;89;91;51;100;94;72;74;94;82;55;0;100;62;44;100;75;95;100;53;100;North Denmark;DK-81
223;Region Syddanmark;DK-83;2009-09-01;81;59;87;91;68;45;63;91;83;100;100;78;55;67;44;71;80;100;68;91;100;40;Southern Denmark;DK-83
224;Region Zealand;DK-85;2009-09-01;61;66;100;92;100;23;57;100;100;79;76;100;100;61;100;100;0;61;100;64;80;91;Zealand;DK-85
225;Capital Region of Denmark;DK-84;2009-10-01;45;79;94;77;71;49;31;84;88;68;100;94;36;97;68;90;35;50;63;64;36;54;Capital;DK-84
226;Central Denmark Region;DK-82;2009-10-01;56;94;91;87;61;86;16;90;87;94;85;90;30;32;62;78;0;64;96;89;100;100;Central Denmark;DK-82
227;North Denmark Region;DK-81;2009-10-01;100;100;93;100;78;100;100;92;80;100;44;100;73;100;55;61;100;71;77;100;52;0;North Denmark;DK-81
228;Region Syddanmark;DK-83;2009-10-01;67;65;80;91;59;48;61;93;82;91;76;58;30;0;79;100;41;88;100;76;53;36;Southern Denmark;DK-83
229;Region Zealand;DK-85;2009-10-01;34;38;100;99;100;31;34;100;100;97;47;55;100;0;100;74;93;100;60;83;72;80;Zealand;DK-85
230;Capital Region of Denmark;DK-84;2009-11-01;50;88;93;85;68;51;49;79;74;59;98;100;84;100;55;56;66;41;65;42;40;48;Capital;DK-84
231;Central Denmark Region;DK-82;2009-11-01;79;77;100;100;69;33;36;79;63;78;100;76;95;96;53;67;0;61;51;58;43;65;Central Denmark;DK-82
232;North Denmark Region;DK-81;2009-11-01;100;60;93;81;51;100;87;100;93;100;82;72;49;84;27;65;0;47;66;100;88;100;North Denmark;DK-81
